order_id,customer_id,order_placement_date,on_time,in_full,otif
fmr32101601,789101,2022-03-01,1,1,1
fmr32102102,789102,2022-03-01,1,1,1
fmr32102202,789102,2022-03-01,0,1,0
fmr32102602,789102,2022-03-01,1,0,0
fmr32103503,789103,2022-03-01,1,0,0
fmr32103602,789103,2022-03-01,1,0,0
fmr32121102,789121,2022-03-01,1,0,0
fmr32121301,789121,2022-03-01,0,0,0
fmr32121403,789121,2022-03-01,1,1,1
fmr32121603,789121,2022-03-01,0,0,0
fmr32122401,789122,2022-03-01,0,0,0
fmr32201502,789201,2022-03-01,1,1,1
fmr32202402,789202,2022-03-01,0,1,0
fmr32202603,789202,2022-03-01,1,0,0
fmr32203101,789203,2022-03-01,0,0,0
fmr32203402,789203,2022-03-01,1,1,1
fmr32220503,789220,2022-03-01,1,0,0
fmr32220602,789220,2022-03-01,1,1,1
fmr32221303,789221,2022-03-01,1,1,1
fmr32221402,789221,2022-03-01,0,1,0
fmr32221603,789221,2022-03-01,1,0,0
fmr32301302,789301,2022-03-01,0,1,0
fmr32301603,789301,2022-03-01,1,0,0
fmr32303603,789303,2022-03-01,1,1,1
fmr32320202,789320,2022-03-01,0,1,0
fmr32320302,789320,2022-03-01,1,1,1
fmr32321103,789321,2022-03-01,0,1,0
fmr32321201,789321,2022-03-01,1,1,1
fmr32401103,789401,2022-03-01,1,1,1
fmr32402303,789402,2022-03-01,0,0,0
fmr32402602,789402,2022-03-01,1,0,0
fmr32403401,789403,2022-03-01,1,1,1
fmr32420102,789420,2022-03-01,0,1,0
fmr32420403,789420,2022-03-01,1,0,0
fmr32420602,789420,2022-03-01,0,0,0
fmr32421102,789421,2022-03-01,0,0,0
fmr32421203,789421,2022-03-01,0,0,0
fmr32421601,789421,2022-03-01,1,0,0
fmr32421603,789421,2022-03-01,0,0,0
fmr32422301,789422,2022-03-01,1,1,1
fmr32422302,789422,2022-03-01,0,0,0
fmr32422401,789422,2022-03-01,0,1,0
fmr32422503,789422,2022-03-01,0,0,0
fmr32501201,789501,2022-03-01,1,1,1
fmr32501601,789501,2022-03-01,1,0,0
fmr32503401,789503,2022-03-01,1,0,0
fmr32520302,789520,2022-03-01,0,0,0
fmr32520603,789520,2022-03-01,1,0,0
fmr32521202,789521,2022-03-01,0,1,0
fmr32521302,789521,2022-03-01,0,1,0
fmr32522301,789522,2022-03-01,0,1,0
fmr32522303,789522,2022-03-01,1,0,0
fmr32601103,789601,2022-03-01,1,0,0
fmr32601303,789601,2022-03-01,0,1,0
fmr32603203,789603,2022-03-01,0,1,0
fmr32621103,789621,2022-03-01,1,1,1
fmr32622402,789622,2022-03-01,0,0,0
fmr32622502,789622,2022-03-01,1,0,0
fmr32622503,789622,2022-03-01,1,0,0
fmr32702601,789702,2022-03-01,1,0,0
fmr32703401,789703,2022-03-01,1,1,1
fmr32720302,789720,2022-03-01,1,1,1
fmr32721603,789721,2022-03-01,1,0,0
fmr32902402,789902,2022-03-01,1,1,1
fmr32902601,789902,2022-03-01,0,0,0
fmr32903403,789903,2022-03-01,1,0,0
fmr32903603,789903,2022-03-01,0,0,0
fmr33101202,789101,2022-03-01,0,1,0
fmr33101403,789101,2022-03-01,1,0,0
fmr33102601,789102,2022-03-01,1,1,1
fmr33103401,789103,2022-03-01,1,0,0
fmr33103602,789103,2022-03-01,1,0,0
fmr33121302,789121,2022-03-01,1,1,1
fmr33122301,789122,2022-03-01,0,0,0
fmr33122402,789122,2022-03-01,0,0,0
fmr33201602,789201,2022-03-01,1,0,0
fmr33202502,789202,2022-03-01,1,0,0
fmr33203603,789203,2022-03-01,1,0,0
fmr33220603,789220,2022-03-01,1,0,0
fmr33221402,789221,2022-03-01,0,1,0
fmr33221503,789221,2022-03-01,1,0,0
fmr33301301,789301,2022-03-01,1,0,0
fmr33303501,789303,2022-03-01,1,1,1
fmr33320202,789320,2022-03-01,0,0,0
fmr33320501,789320,2022-03-01,1,0,0
fmr33320503,789320,2022-03-01,0,1,0
fmr33321601,789321,2022-03-01,0,1,0
fmr33321602,789321,2022-03-01,1,0,0
fmr33401603,789401,2022-03-01,1,0,0
fmr33402203,789402,2022-03-01,0,1,0
fmr33402303,789402,2022-03-01,1,1,1
fmr33403501,789403,2022-03-01,1,0,0
fmr33420101,789420,2022-03-01,0,1,0
fmr33420203,789420,2022-03-01,0,1,0
fmr33420301,789420,2022-03-01,0,0,0
fmr33420603,789420,2022-03-01,1,1,1
fmr33421203,789421,2022-03-01,0,0,0
fmr33421301,789421,2022-03-01,0,0,0
fmr33422301,789422,2022-03-01,0,0,0
fmr33501401,789501,2022-03-01,1,0,0
fmr33503502,789503,2022-03-01,1,0,0
fmr33520502,789520,2022-03-01,0,0,0
fmr33520601,789520,2022-03-01,0,0,0
fmr33521201,789521,2022-03-01,0,0,0
fmr33521202,789521,2022-03-01,1,1,1
fmr33521502,789521,2022-03-01,0,1,0
fmr33522103,789522,2022-03-01,0,1,0
fmr33522202,789522,2022-03-01,1,0,0
fmr33601202,789601,2022-03-01,0,0,0
fmr33601303,789601,2022-03-01,1,0,0
fmr33603603,789603,2022-03-01,0,1,0
fmr33621102,789621,2022-03-01,0,1,0
fmr33621302,789621,2022-03-01,0,1,0
fmr33621603,789621,2022-03-01,1,1,1
fmr33622502,789622,2022-03-01,1,1,1
fmr33702302,789702,2022-03-01,1,0,0
fmr33703303,789703,2022-03-01,1,1,1
fmr33703603,789703,2022-03-01,1,1,1
fmr33720202,789720,2022-03-01,1,1,1
fmr33720501,789720,2022-03-01,1,1,1
fmr33720503,789720,2022-03-01,0,1,0
fmr33721603,789721,2022-03-01,1,1,1
fmr33902203,789902,2022-03-01,1,0,0
fmr33903601,789903,2022-03-01,1,0,0
fmr34101201,789101,2022-03-01,0,1,0
fmr34101301,789101,2022-03-01,1,1,1
fmr34102602,789102,2022-03-01,1,0,0
fmr34103403,789103,2022-03-01,1,0,0
fmr34121203,789121,2022-03-01,0,1,0
fmr34121303,789121,2022-03-01,0,1,0
fmr34121501,789121,2022-03-01,1,0,0
fmr34122102,789122,2022-03-01,0,0,0
fmr34122103,789122,2022-03-01,1,1,1
fmr34122303,789122,2022-03-01,0,0,0
fmr34122402,789122,2022-03-01,1,0,0
fmr34122601,789122,2022-03-01,0,0,0
fmr34201201,789201,2022-03-01,0,0,0
fmr34201202,789201,2022-03-01,1,0,0
fmr34202301,789202,2022-03-01,1,1,1
fmr34203601,789203,2022-03-01,1,1,1
fmr34220601,789220,2022-03-01,1,1,1
fmr34221301,789221,2022-03-01,1,1,1
